111.00 -8.78 15 -1.21 -3.68 4.89 0.33 1.39 5.32 23 X Y 201308081045A  
114.32 -10.65 22 -1.34 7.37 -6.03 2.41 0.09 1.08 23 X Y 201308221858A  
108.09 -8.20 67 1.55 -2.01 0.47 0.93 0.01 0.13 23 X Y 201310302145A  
108.01 -8.22 68 2.33 -2.81 0.48 0.96 0.08 0.48 23 X Y 201311250040A  
107.05 -10.26 15 -0.66 1.58 -0.92 0.22 -0.60 -2.35 23 X Y 201312111822A  
105.63 -7.07 28 -0.41 -2.26 2.67 0.16 -0.00 0.16 23 X Y 201401091616A  
109.27 -8.36 76 -1.28 1.18 0.10 -1.56 0.58 -0.34 25 X Y 201401250514A  
109.58 -8.28 102 1.58 -2.60 1.03 -0.95 -0.66 1.48 23 X Y 201401251658A  
109.44 -8.34 93 2.64 -4.32 1.68 -0.36 -1.38 1.45 23 X Y 201401271614A  
113.07 -9.10 76 -4.05 -2.31 6.36 4.07 1.87 2.44 23 X Y 201403091342A  
114.18 -10.06 36 4.59 -5.11 0.51 2.58 0.30 0.06 23 X Y 201403202132A  
110.37 -9.42 39 0.62 -0.74 0.12 0.63 -0.29 0.18 24 X Y 201404181333A  
110.46 -9.49 39 2.61 -3.85 1.24 2.21 -1.04 -0.04 23 X Y 201404280520A  
109.29 -8.47 74 1.51 -1.67 0.16 0.93 0.74 -0.51 23 X Y 201405080548A  
108.10 -8.20 65 3.88 -4.36 0.48 1.89 -0.06 0.78 23 X Y 201406220638A  
105.05 -6.74 19 -0.29 -1.13 1.42 0.31 0.01 0.46 24 X Y 201407090001A  
111.31 -9.09 61 1.64 -2.01 0.37 0.83 -0.11 0.20 24 X Y 201407140505A  
111.52 -9.19 27 -0.92 -1.78 2.70 0.78 -3.19 4.56 23 X Y 201407240841A  
107.20 -6.75 157 0.49 -0.44 -0.05 -0.65 0.20 -0.59 24 X Y 201410170926A  
112.91 -10.38 20 -2.66 3.26 -0.60 0.87 -1.28 0.32 23 X Y 201410260856A  
112.87 -10.23 26 -2.11 1.61 0.51 1.21 -0.26 0.44 23 X Y 201410260907A  
106.09 -7.42 57 1.83 -1.65 -0.18 0.83 0.22 0.94 23 X Y 201411081456A  
105.26 -7.19 47 1.31 -2.26 0.95 0.92 0.41 0.74 23 X Y 201504091820A  
113.01 -9.57 55 1.67 0.61 -2.28 -0.35 -1.03 1.19 23 X Y 201505010246A  
111.49 -11.21 17 -2.47 1.72 0.75 0.53 -0.40 0.28 23 X Y 201507141320A  
109.04 -8.27 88 1.27 -0.68 -0.59 -0.66 0.59 -1.59 24 X Y 201507242144A  
112.82 -9.45 44 0.61 0.26 -0.87 0.32 0.05 0.28 25 X Y 201507260705A  
107.35 -8.13 50 1.17 -0.15 -1.03 -0.06 -0.23 -0.62 24 X Y 201509042008A  
107.68 -8.08 15 -0.02 -0.03 0.05 0.82 -0.66 0.09 24 X Y 201510100903A  
111.26 -10.34 24 -2.62 3.16 -0.53 -0.38 -0.09 -0.41 23 X Y 201511072057A  
110.33 -8.99 107 -0.97 1.31 -0.34 1.89 0.04 -0.54 24 X Y 201511111145A  
105.92 -7.13 74 1.07 -0.20 -0.87 -0.01 -0.22 -0.90 24 X Y 201511281447A  
107.11 -8.54 33 2.56 -2.48 -0.08 2.39 -0.40 1.09 24 X Y 201512191503A  
107.20 -7.40 132 0.06 -0.94 0.88 1.72 -0.68 -0.97 23 X Y 201602161505A  
111.58 -9.09 56 2.18 -2.67 0.49 0.81 -0.32 0.00 23 X Y 201602252335A  
112.57 -8.99 74 2.45 -3.07 0.62 0.93 0.11 0.41 23 X Y 201603020609A  
107.42 -8.41 42 1.18 -1.17 -0.01 0.87 -0.11 0.38 25 X Y 201604061445A  
107.68 -10.09 18 -0.83 5.29 -4.46 0.82 -1.94 -1.91 23 X Y 201605172108A  
107.45 -8.73 59 1.84 -2.17 0.32 0.41 0.45 1.02 23 X Y 201606111716A  
108.08 -10.54 12 -5.47 6.22 -0.75 4.03 -0.08 -3.04 23 X Y 201607141828A  
111.77 -10.01 22 -2.54 0.98 1.56 -0.36 0.47 -0.59 23 X Y 201609100249A  
113.18 -9.14 106 0.61 3.23 -3.83 2.24 -0.96 -1.79 24 X Y 201611161510A  
