time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-05-24T16:38:26.547Z,-7.6953,105.3229,18.68,4.1,mb,15,199,2.319,0.4,us,us7000k57q,2023-07-29T22:00:47.040Z,"156 km SSW of Labuan, Indonesia",earthquake,11.98,7.763,0.234,5,reviewed,us,us
2023-05-17T09:50:18.762Z,-5.6281,107.1051,316.709,4.3,mb,45,106,1.901,0.81,us,us6000kchb,2023-07-24T01:16:27.040Z,"62 km NNW of Rengasdengklok, Indonesia",earthquake,10.46,7.857,0.087,37,reviewed,us,us
2023-05-14T05:17:49.790Z,-9.1975,111.4623,63.226,4.4,mb,26,146,2.362,0.45,us,us6000kbs1,2023-07-24T01:17:06.040Z,"126 km SSW of Trenggalek, Indonesia",earthquake,3.83,8.991,0.118,22,reviewed,us,us
2023-05-11T21:56:41.035Z,-8.2061,108.9754,79.36,4.1,mb,20,119,1.507,0.48,us,us6000kcba,2023-07-22T19:17:27.040Z,"53 km S of Cilacap, Indonesia",earthquake,7.71,3.643,0.185,8,reviewed,us,us
2023-05-10T12:24:43.312Z,-5.153,106.162,283.044,4.4,mb,28,103,2.73,0.85,us,us6000kau5,2023-07-22T19:16:36.040Z,"94 km E of Metro, Indonesia",earthquake,11.17,9.106,0.109,24,reviewed,us,us
2023-05-08T23:21:08.281Z,-7.0763,107.2238,117.76,4.4,mb,13,169,0.571,0.46,us,us6000kbf4,2023-07-22T19:17:04.040Z,"26 km WNW of Banjar, Indonesia",earthquake,15.12,8.74,0.268,4,reviewed,us,us
2023-05-06T18:57:00.081Z,-8.015,107.8583,66.896,4.3,mb,32,78,0.586,0.9,us,us6000kb4q,2023-07-15T22:10:30.040Z,"78 km SSW of Singaparna, Indonesia",earthquake,6.42,5.173,0.11,24,reviewed,us,us
2023-04-17T07:58:19.944Z,-6.0145,111.8376,601.332,4.7,mb,121,52,1.727,0.41,us,us6000k4zy,2023-07-03T02:47:34.040Z,"86 km NNE of Lasem, Indonesia",earthquake,9.91,7.598,0.052,112,reviewed,us,us
2023-04-17T04:38:30.195Z,-8.2065,107.8663,54.354,4.7,mb,91,48,0.77,0.74,us,us6000k4z3,2023-07-03T02:47:36.040Z,"98 km SSW of Singaparna, Indonesia",earthquake,5.82,5.666,0.061,81,reviewed,us,us
2023-04-06T02:31:12.780Z,-8.9089,106.0506,10,4.3,mb,17,145,2.138,0.8,us,us6000k41a,2023-06-13T03:12:45.040Z,"219 km SSW of Pelabuhanratu, Indonesia",earthquake,10.51,1.859,0.2,7,reviewed,us,us
2023-03-29T11:21:33.992Z,-9.2425,107.0102,10,4.4,mb,20,192,1.878,0.67,us,us6000k1rk,2023-06-03T22:06:18.040Z,"231 km SSW of Banjar, Indonesia",earthquake,9.97,1.959,0.138,15,reviewed,us,us
2023-03-29T05:34:42.453Z,-6.9179,106.8713,11.11,4,mb,8,281,0.744,0.52,us,us6000k1rj,2023-06-03T22:06:18.040Z,"6 km W of Sukabumi, Indonesia",earthquake,5.28,6.304,0.259,4,reviewed,us,us
2023-03-22T01:24:16.014Z,-7.1981,107.1377,69.723,4.2,mb,35,129,0.572,0.52,us,us6000k0ad,2023-05-26T21:54:00.040Z,"32 km W of Banjar, Indonesia",earthquake,4.57,6.778,0.118,20,reviewed,us,us
2023-03-17T12:05:27.335Z,-9.021,109.7511,49.69,5,mww,60,62,2.074,0.94,us,us7000jktt,2023-05-20T23:20:33.040Z,"south of Java, Indonesia",earthquake,8,5,0.078,16,reviewed,us,us
2023-02-07T00:35:51.557Z,-7.2442,106.0073,50.524,5.4,mb,161,53,4.174,0.55,us,us6000jm4c,2023-04-15T21:39:41.040Z,"66 km WSW of Pelabuhanratu, Indonesia",earthquake,7.91,2.626,0.044,179,reviewed,us,us
2023-02-03T22:21:44.569Z,-6.0684,106.7474,162.884,4.3,mb,19,161,1.142,0.51,us,us6000jmtk,2023-04-13T21:53:31.040Z,"12 km ENE of Teluknaga, Indonesia",earthquake,10.03,6.369,0.189,8,reviewed,us,us
